DATE,gdp
1999/10/01,688828.625
2000/01/01,696879.875
2000/04/01,703291.125
2000/07/01,710256.375
2000/10/01,716300.375
2001/01/01,720702.1875
2001/04/01,724303.5
2001/07/01,726228.375
2001/10/01,731815.375
2002/01/01,739763
2002/04/01,749149.5
2002/07/01,757628.625
2002/10/01,763932
2003/01/01,768781.1875
2003/04/01,772535.6875
2003/07/01,776728.125
2003/10/01,781209.3125
2004/01/01,793035.125
2004/04/01,804117.375
2004/07/01,817265.6875
2004/10/01,825993.5
2005/01/01,834390.5
2005/04/01,849364.125
2005/07/01,860946.1875
2005/10/01,866709
2006/01/01,881938.5
2006/04/01,894464.1875
2006/07/01,906818.125
2006/10/01,919357.8125
2007/01/01,934285.125
2007/04/01,941942.125
2007/07/01,952981.125
2007/10/01,966485.625
2008/01/01,970544.875
2008/04/01,982394.125
2008/07/01,984741.375
2008/10/01,979135.8125
2009/01/01,963904.875
2009/04/01,960596.6875
2009/07/01,962824.375
2009/10/01,969246.125
2010/01/01,980554.625
2010/04/01,988785.5
2010/07/01,997588.125
2010/10/01,1006873.5
2011/01/01,1016789.188
2011/04/01,1022479.813
2011/07/01,1026710.625
2011/10/01,1033734.188
2012/01/01,1039593.813
2012/04/01,1048271.688
2012/07/01,1052533.5
2012/10/01,1057553.5
2013/01/01,1065760.25
2013/04/01,1073512.5
2013/07/01,1078605.75
2013/10/01,1084412.5
2014/01/01,1082916.75
2014/04/01,1087190.75
2014/07/01,1092415.5
2014/10/01,1100595.25
2015/01/01,1108545.375
2015/04/01,1099186.375
2015/07/01,1104137.375
2015/10/01,1108923.375
2016/01/01,1111572.25
2016/04/01,1112641.75
2016/07/01,1112506.25
2016/10/01,1113450.75
2017/01/01,1118707.75
2017/04/01,1124808.125
2017/07/01,1126876.625
2017/10/01,1131309.25
2018/01/01,1137294.25
2018/04/01,1134466.25
2018/07/01,1148418.125
2018/10/01,1151604.875
2019/01/01,1141546.375
2019/04/01,1146708.625
2019/07/01,1147913.875
2019/10/01,1147498.25
2020/01/01,1147036.75
2020/04/01,953846.1875
2020/07/01,1085060.875
2020/10/01,1114960.5
2021/01/01,1121623.25
2021/04/01,1137721.75
2021/07/01,1118356.25
2021/10/01,1136314.25
2022/01/01,1151125.125
2022/04/01,1140330.75
2022/07/01,1162541.125
2022/10/01,1146303.125
2023/01/01,1153529.25
2023/04/01,1161487.5
2023/07/01,1156701.125
2023/10/01,1160714.75
2024/01/01,1161049.25
2024/04/01,1166191.25
